Author,Quote,URL
Габриель Гарсиа Маркес,"Никогда не переставай улыбаться, даже когда тебе грустно, — кто-то может влюбиться в твою улыбку. ",http://forismatic.com/ru/6b66559578/
Дени Дидро,"Чудеса там, где в них верят, и чем больше верят, тем чаще они случаются. ",http://forismatic.com/ru/c5c29263f4/
Джек Лондон,"Все прекрасное прекрасно до тех пор, пока ты им не обладаешь. ",http://forismatic.com/ru/e035f06390/
Джордано Бруно,"Капля долбит камень не силою, а часто падая. ",http://forismatic.com/ru/74e2ad1bcb/
Лао Цзы,"Для того чтобы что-то уменьшить, безусловно, следует сначала увеличить его. Для того чтобы взять, сначала, безусловно, следует дать. ",http://forismatic.com/ru/67fc9135a1/
Марк Твен,"Избегайте тех, кто старается подорвать вашу веру в себя. Эта черта свойственна мелким людям. Великий человек, наоборот, внушает чувство, что вы можете стать великим.",http://forismatic.com/ru/da5a2b50b4/
Ральф Уолдо Эмерсон,"Мир уступает дорогу тому, кто знает, куда идет. ",http://forismatic.com/ru/9bdd6ab408/
Свами Рама,"Бедные мечтают разбогатеть, богатые грезят о вечной жизни и только мудрые стремятся к безмятежности. ",http://forismatic.com/ru/eb26dde61a/
Шри Ауробиндо,"Иногда подражание — неплохое учебное судно; однако, никогда не развеваться над ним адмиральскому вымпелу.",http://forismatic.com/ru/25ba1ed1b4/
Эзоп,"Нет ничего столь совершенного, чтобы быть свободным от всяких упреков.",http://forismatic.com/ru/29d07461ef/
